Study.name,Group,Full.name,WL.num,Sample.type,Study.stage,Days.since.Tx.start,Treatment.days,Washout.period,CFU,Adjusted.16S.Original,Culture.status,CFU_LOD,uL.template.RTP.16S.Original,cDNA.dilution.RTP.16S.Original,Median.Count.RTP.16S.Original,uL.RNA.into.RT.RTP.16S.Original,T50,T50_ci_low,T50_ci_up,T95,T95_ci_low,T95_ci_up
Gates-BC-Rel-01,HRZE,Gates-BC-Rel-01_4wk_Grp 2: 2HRZE/3HR_LG F,5817,mouse,On Treatment,28,28,0,116000,380039416.5,NA,NA,2,10,101343.8444,2,17.38476672,16.85147642,17.91805701,20.83078329,20.297493,21.36407358
Gates-BC-Rel-01,PaMZ,Gates-BC-Rel-01_4wk_Grp 3: PaMZ_LG A,5818,mouse,On Treatment,28,28,0,203,411589713,NA,NA,2,10,109757.2568,2,10.98338088,8.982932151,12.98382961,13.16051177,11.16006304,15.1609605
Gates-BC-Rel-01,PaMZ,Gates-BC-Rel-01_4wk_Grp 3: PaMZ_LG B,5819,mouse,On Treatment,28,28,0,180,354555742.5,NA,NA,2,10,94548.19802,2,10.98338088,8.982932151,12.98382961,13.16051177,11.16006304,15.1609605
Gates-BC-Rel-01,PaMZ,Gates-BC-Rel-01_4wk_Grp 3: PaMZ_LG C,5820,mouse,On Treatment,28,28,0,2420,467052917.7,NA,NA,2,10,124547.4448,2,10.98338088,8.982932151,12.98382961,13.16051177,11.16006304,15.1609605
Gates-BC-Rel-01,PaMZ,Gates-BC-Rel-01_4wk_Grp 3: PaMZ_LG D,5821,mouse,On Treatment,28,28,0,97.5,245540829.3,NA,NA,2,10,65477.55448,2,10.98338088,8.982932151,12.98382961,13.16051177,11.16006304,15.1609605
Gates-BC-Rel-01,PaMZ,Gates-BC-Rel-01_4wk_Grp 3: PaMZ_LG E,5822,mouse,On Treatment,28,28,0,97.5,246399880.8,NA,NA,2,10,65706.63488,2,10.98338088,8.982932151,12.98382961,13.16051177,11.16006304,15.1609605
Gates-BC-Rel-01,PaMZ,Gates-BC-Rel-01_4wk_Grp 3: PaMZ_LG F,5823,mouse,On Treatment,28,28,0,60,146865597,NA,NA,2,10,39164.15919,2,10.98338088,8.982932151,12.98382961,13.16051177,11.16006304,15.1609605
Gates-BC-Rel-01,BPaL,Gates-BC-Rel-01_4wk_Grp 4: BPaL_LG A,5824,mouse,On Treatment,28,28,0,55.4,389117318.1,NA,NA,2,10,103764.6181,2,8.204487147,7.991936648,8.417037646,9.83078442,9.618233921,10.04333492
Gates-BC-Rel-01,BPaL,Gates-BC-Rel-01_4wk_Grp 4: BPaL_LG B,5825,mouse,On Treatment,28,28,0,137,441830667.3,NA,NA,2,10,117821.5113,2,8.204487147,7.991936648,8.417037646,9.83078442,9.618233921,10.04333492
Gates-BC-Rel-01,BPaL,Gates-BC-Rel-01_4wk_Grp 4: BPaL_LG C,5826,mouse,On Treatment,28,28,0,45.7,332324919,NA,NA,2,10,88619.97842,2,8.204487147,7.991936648,8.417037646,9.83078442,9.618233921,10.04333492
Gates-BC-Rel-01,BPaL,Gates-BC-Rel-01_4wk_Grp 4: BPaL_LG D,5827,mouse,On Treatment,28,28,0,218,294391526.2,NA,NA,2,10,78504.40699,2,8.204487147,7.991936648,8.417037646,9.83078442,9.618233921,10.04333492
Gates-BC-Rel-01,BPaL,Gates-BC-Rel-01_4wk_Grp 4: BPaL_LG E,5828,mouse,On Treatment,28,28,0,81.5,273993501.4,NA,NA,2,10,73064.9337,2,8.204487147,7.991936648,8.417037646,9.83078442,9.618233921,10.04333492
Gates-BC-Rel-01,BPaL,Gates-BC-Rel-01_4wk_Grp 4: BPaL_LG F,5829,mouse,On Treatment,28,28,0,81.5,360904952.4,NA,NA,2,10,96241.32067,2,8.204487147,7.991936648,8.417037646,9.83078442,9.618233921,10.04333492
Gates-BC-Rel-01,BPaMZ,Gates-BC-Rel-01_4wk_Grp 5: BPaMZ_LG A,5830,mouse,On Treatment,28,28,0,6.52,202606102.6,NA,NA,2,10,54028.29403,2,4.567387498,4.12906636,5.005708636,5.472737181,5.034416042,5.911058319
Gates-BC-Rel-01,BPaMZ,Gates-BC-Rel-01_4wk_Grp 5: BPaMZ_LG B,5831,mouse,On Treatment,28,28,0,9.78,196894293.9,NA,NA,2,10,52505.14503,2,4.567387498,4.12906636,5.005708636,5.472737181,5.034416042,5.911058319
Gates-BC-Rel-01,BPaMZ,Gates-BC-Rel-01_4wk_Grp 5: BPaMZ_LG C,5832,mouse,On Treatment,28,28,0,1.630434783,146046716.8,NA,NA,2,10,38945.79114,2,4.567387498,4.12906636,5.005708636,5.472737181,5.034416042,5.911058319
Gates-BC-Rel-01,BPaMZ,Gates-BC-Rel-01_4wk_Grp 5: BPaMZ_LG D,5833,mouse,On Treatment,28,28,0,3.26,144957590.4,NA,NA,2,10,38655.35745,2,4.567387498,4.12906636,5.005708636,5.472737181,5.034416042,5.911058319
Gates-BC-Rel-01,BPaMZ,Gates-BC-Rel-01_4wk_Grp 5: BPaMZ_LG E,5834,mouse,On Treatment,28,28,0,1.630434783,114410181.7,NA,NA,2,10,30509.38178,2,4.567387498,4.12906636,5.005708636,5.472737181,5.034416042,5.911058319
Gates-BC-Rel-01,BPaMZ,Gates-BC-Rel-01_4wk_Grp 5: BPaMZ_LG F,5835,mouse,On Treatment,28,28,0,1.630434783,173791583,NA,NA,2,10,46344.42212,2,4.567387498,4.12906636,5.005708636,5.472737181,5.034416042,5.911058319
Gates-BC-Rel-01,BPaMZ,Gates-BC-Rel-01_6wk_Grp 5: BPaMZ_LG A,5856,mouse,On Treatment,42,42,0,1.630434783,23800598.3,NA,NA,2,10,6346.826213,2,4.567387498,4.12906636,5.005708636,5.472737181,5.034416042,5.911058319
